TF (knockdown),Gene Symbol,Logratio(log10),Fold change
Elf2,Wfdc15a,0.4181,2.618
Elf2,A730037C10Rik,0.4179,2.617
Elf2,5031434C07Rik,0.4051,2.541
Elf2,Pla2g7,0.3864,2.434
Elf2,Stambpl1,0.386,2.432
Elf2,Nat2,0.3503,2.24
Elf2,Nkain3,0.3452,2.214
Elf2,C230071H18Rik,0.333,2.152
Elf2,A930034L06Rik,0.3159,2.069
Elf2,Rgs16,0.3138,2.059
Elf2,Arhgef15,-0.3322,0.4653
Elf2,Il11ra2,-0.3545,0.442
Elf2,Lgi3,-0.3912,0.4062
Elf2,Fgf22,-0.3964,0.4014
Elf2,Ccdc65,-0.4267,0.3743
Elf2,Pak7,-0.4284,0.3729
Elf2,E230012P03,-0.4445,0.3593
Elf2,Elf2,-0.4748,0.3351
Ell2,EG435616,0.8034,6.359
Ell2,Snx5,-0.3301,0.4676
Ell2,Ell2,-0.9566,0.1105
Esrrb,A730056A06Rik,1.5068,32.121
Esrrb,Rhox11,1.3876,24.411
Esrrb,Igsf6,1.2723,18.719
Esrrb,E130009J12Rik,1.103,12.676
Esrrb,A430034D21Rik,1.0487,11.186
Esrrb,Gsg1l,1.0078,10.181
Esrrb,4930503E24Rik,1.0049,10.113
Esrrb,5430433G21Rik,1.0046,10.106
Esrrb,Esr1,0.9755,9.451
Esrrb,E430024P14Rik,0.959,9.099
Esrrb,Tnrc4,0.9429,8.767
Esrrb,Dlx6os1,0.9372,8.653
Esrrb,LOC381192,0.9325,8.56
Esrrb,Trpv6,0.9322,8.554
Esrrb,Il8rb,0.9262,8.437
Esrrb,Prg3,0.9213,8.342
Esrrb,Gnrhr,0.9135,8.194
Esrrb,1700119H24Rik,0.9117,8.16
Esrrb,EG232801,0.8991,7.926
Esrrb,Rhox12,0.8965,7.879
Esrrb,LOC433710,0.8777,7.545
Esrrb,BC048651,0.8767,7.528
Esrrb,Ifi44,0.8765,7.524
Esrrb,1700129C05Rik,0.8709,7.428
Esrrb,Hdgfl1,0.8681,7.38
Esrrb,D830024N08Rik,0.8606,7.254
Esrrb,EG623898,0.8593,7.232
Esrrb,Krt18,0.8585,7.219
Esrrb,Targ3,0.8567,7.189
Esrrb,Dusp21,0.8518,7.108
Esrrb,Aadac,0.8438,6.979
Esrrb,5930403N24Rik,0.8436,6.975
Esrrb,Tssk3,0.8371,6.872
Esrrb,Etohi5,0.8329,6.806
Esrrb,BC051408,0.8326,6.801
Esrrb,E130008D07Rik,0.831,6.776
Esrrb,Gm599,0.8286,6.739
Esrrb,LOC225805,0.8274,6.72
Esrrb,4930565N06Rik,0.8196,6.6
Esrrb,EG545936,0.8156,6.54
Esrrb,Bsx,0.8145,6.523
Esrrb,Ceacam12,0.8139,6.514
Esrrb,Sp9,0.8123,6.49
Esrrb,Olfr438,0.8079,6.425
Esrrb,Trpc5,0.8018,6.335
Esrrb,Gzmn,0.8016,6.332
Esrrb,4930458A03Rik,0.7987,6.29
Esrrb,3830417A13Rik,0.7949,6.235
Esrrb,Aox3,0.794,6.223
Esrrb,Nppb,0.7916,6.188
Esrrb,RP23-382C19.3,0.7915,6.187
Esrrb,Tg,0.7911,6.181
Esrrb,Serpinb9g,0.7896,6.16
Esrrb,Ush1c,0.7874,6.129
Esrrb,Krt80,0.7869,6.122
Esrrb,Olfr574,0.7826,6.061
Esrrb,1700041B01Rik,0.7804,6.031
Esrrb,Clic5,0.7769,5.982
Esrrb,EG667305,0.7746,5.951
Esrrb,Ccl21c,0.7719,5.914
Esrrb,Tnfsg5,0.767,5.847
Esrrb,Cd163,0.7627,5.79
Esrrb,Asb9,0.761,5.767
Esrrb,Matn2,0.7529,5.661
Esrrb,Gm54,0.7503,5.627
Esrrb,Ntng1,0.7495,5.616
Esrrb,Samd4,0.7483,5.601
Esrrb,Slamf7,0.7479,5.596
